"set","setInf","locx","locy","time","genoID"
22,6,2.00289321409775,4.52562162162161,88,3310696554448571
30,25,6.02193577566731,6.31965714285713,89,1091878382259866
30,26,6.02193577566731,6.31965714285713,90,8937972990536475
32,5,6.68026905829644,6.19239457831331,90,3343679235870715
3,9,5.19927272727327,2.55909356313043,91,7812922346098219
3,10,5.19927272727327,2.55909356313043,92,353521597450651
30,27,6.02193577566731,6.31965714285713,92,1056693968227899
5,6,5.42108626198161,3.65709192916844,92,3346415046415515
15,27,3.14513658412059,2.08701639344265,93,3064400027896763
22,7,2.00289321409775,4.52562162162161,94,3273309401435067
22,8,2.00289321409775,4.52562162162161,95,3343678094764959
30,28,6.02193577566731,6.31965714285713,96,1059442755650779
8,2,3.66735471578293,7.21564889080905,96,5562490479756473
30,29,6.02193577566731,6.31965714285713,97,3027017739980731
5,7,5.42108626198161,3.65709192916844,97,3361267934611098
22,9,2.00289321409775,4.52562162162161,97,3343678850262569
15,28,3.14513658412059,2.08701639344265,98,7585594022094747
30,30,6.02193577566731,6.31965714285713,98,3290902661220923
30,31,6.02193577566731,6.31965714285713,98,1058890852394651
22,10,2.00289321409775,4.52562162162161,99,2780728145761971
26,1,3.33629032258034,6.1503819223425,99,3273306264077275
30,32,6.02193577566731,6.31965714285713,101,7867070056006315
22,11,2.00289321409775,4.52562162162161,101,7674104708463259
30,33,6.02193577566731,6.31965714285713,102,7812093048582043
21,8,5.60182303245884,6.85478656968628,103,3062750525574811
30,34,6.02193577566731,6.31965714285713,103,7020415852803739
30,35,6.02193577566731,6.31965714285713,104,3081998320854939
30,36,6.02193577566731,6.31965714285713,106,5595722453669531
22,12,2.00289321409775,4.52562162162161,106,8957784198268443
15,29,3.14513658412059,2.08701639344265,107,4434393697141819
15,30,3.14513658412059,2.08701639344265,107,3308491644784281
22,13,2.00289321409775,4.52562162162161,107,3308493421201307
8,3,3.66735471578293,7.21564889080905,107,3345996404542906
15,31,3.14513658412059,2.08701639344265,108,3346005564895034
3,11,5.19927272727327,2.55909356313043,108,3343953040294075
30,37,6.02193577566731,6.31965714285713,109,3310829707224987
22,14,2.00289321409775,4.52562162162161,109,3308497816831035
15,32,3.14513658412059,2.08701639344265,111,7286524309466779
21,9,5.60182303245884,6.85478656968628,111,7829669497311899
3,12,5.19927272727327,2.55909356313043,111,3308495937258943
22,15,2.00289321409775,4.52562162162161,111,7812093031270075
22,16,2.00289321409775,4.52562162162161,111,5560293520103323
22,17,2.00289321409775,4.52562162162161,111,3222731514235611
5,8,5.42108626198161,3.65709192916844,112,3029222133379355
22,18,2.00289321409775,4.52562162162161,112,7812365913212603
15,33,3.14513658412059,2.08701639344265,113,3308494671104691
30,38,6.02193577566731,6.31965714285713,113,3310812602832163
30,39,6.02193577566731,6.31965714285713,113,3310967699863195
30,40,6.02193577566731,6.31965714285713,113,3062200618755611
30,41,6.02193577566731,6.31965714285713,113,3363469237472955
32,6,6.68026905829644,6.19239457831331,113,7812094508188315
15,34,3.14513658412059,2.08701639344265,114,3273310357810107
15,35,3.14513658412059,2.08701639344265,114,7779107984949947
3,13,5.19927272727327,2.55909356313043,114,3009383577162770
30,42,6.02193577566731,6.31965714285713,114,1059443359664027
22,19,2.00289321409775,4.52562162162161,115,3361270348141467
30,43,6.02193577566731,6.31965714285713,116,3345881463836603
15,36,3.14513658412059,2.08701639344265,117,1056685403467421
15,37,3.14513658412059,2.08701639344265,117,7250242908769499
3,14,5.19927272727327,2.55909356313043,117,2746091176316891
15,38,3.14513658412059,2.08701639344265,120,7847277420144314
30,44,6.02193577566731,6.31965714285713,120,7815117074648987
15,39,3.14513658412059,2.08701639344265,125,1056685403467675
3,15,5.19927272727327,2.55909356313043,125,2587211740267419
3,16,5.19927272727327,2.55909356313043,125,3310659561122458
30,45,6.02193577566731,6.31965714285713,125,3134913619715115
30,46,6.02193577566731,6.31965714285713,129,3311240019234491
8,4,3.66735471578293,7.21564889080905,129,3064401839807547
22,20,2.00289321409775,4.52562162162161,131,3345874584919739
30,47,6.02193577566731,6.31965714285713,133,7867023516025393
22,21,2.00289321409775,4.52562162162161,134,1059717616682651
22,22,2.00289321409775,4.52562162162161,135,2782377509963515
22,23,2.00289321409775,4.52562162162161,136,3308494931150009
15,40,3.14513658412059,2.08701639344265,137,3082234831104091
3,17,5.19927272727327,2.55909356313043,137,7076030548077459
5,9,5.42108626198161,3.65709192916844,137,1076588248454091
21,10,5.60182303245884,6.85478656968628,138,2747879762227003
30,48,6.02193577566731,6.31965714285713,138,8375180810054843
